dictionary_category,code,display_name,display_order,description,risk_level,bethesda_section
CYTOLOGY_SPECIMEN_ADEQUACY,SATISFACTORY,Satisfactory for evaluation,1,Specimen is adequate for cytologic interpretation,,"ADEQUACY"
CYTOLOGY_SPECIMEN_ADEQUACY,LIMITED_BUT_EVAL,Limited but evaluable,2,Specimen has limitations but is still evaluable,,"ADEQUACY"
CYTOLOGY_SPECIMEN_ADEQUACY,UNSATISFACTORY,Unsatisfactory for evaluation,3,Specimen cannot be adequately evaluated,,"ADEQUACY"
CYTOLOGY_ADEQUACY_LIMITATION,SCANT_CELLULARITY,Scant cellularity,1,Limited due to insufficient cellular material,,"ADEQUACY"
CYTOLOGY_ADEQUACY_LIMITATION,POOR_PRESERVATION,Poor preservation/fixation,2,Limited due to poor cellular preservation,,"ADEQUACY"
CYTOLOGY_ADEQUACY_LIMITATION,PRESENCE_OF_BLOOD,Presence of blood,3,Limited due to obscuring blood,,"ADEQUACY"
CYTOLOGY_ADEQUACY_LIMITATION,INFLAMMATION,Presence of inflammation,4,Limited due to inflammatory cells,,"ADEQUACY"
CYTOLOGY_ADEQUACY_LIMITATION,THICK_AREAS,Thick areas on slide,5,Limited due to thick cellular areas,,"ADEQUACY"
CYTOLOGY_ADEQUACY_LIMITATION,DRYING_ARTIFACT,Air drying artifact,6,Limited due to air drying artifacts,,"ADEQUACY"
CYTOLOGY_UNSATISFACTORY_REASON,SCANT_SQUAMOUS,Scant squamous epithelial cells,1,Less than 10% of slide covered by well-preserved squamous cells,,"ADEQUACY"
CYTOLOGY_UNSATISFACTORY_REASON,OBSCURED_BY_BLOOD,Obscured by blood,2,More than 75% of epithelial cells obscured by blood,,"ADEQUACY"
CYTOLOGY_UNSATISFACTORY_REASON,OBSCURED_BY_INFLAMMATION,Obscured by inflammation,3,More than 75% of epithelial cells obscured by inflammatory cells,,"ADEQUACY"
CYTOLOGY_UNSATISFACTORY_REASON,THICK_AREAS_UNEVAL,Thick areas preventing evaluation,4,Dense cellular areas preventing adequate visualization,,"ADEQUACY"
CYTOLOGY_UNSATISFACTORY_REASON,POOR_STAINING,Poor staining quality,5,Inadequate staining preventing cellular interpretation,,"ADEQUACY"
CYTOLOGY_UNSATISFACTORY_REASON,CONTAMINATION,Contamination artifact,6,Presence of contaminants preventing evaluation,,"ADEQUACY"
CYTOLOGY_UNSATISFACTORY_REASON,PROCESSING_ARTIFACT,Processing artifact,7,Technical processing issues affecting evaluation,,"ADEQUACY"
CYTOLOGY_UNSATISFACTORY_REASON,OTHER_UNSATISFACTORY,Other (specify),8,Other reason making specimen unsatisfactory for evaluation,,"ADEQUACY"
CYTOLOGY_GENERAL_CATEGORY,NILM,Negative for intraepithelial lesion or malignancy,1,No cellular abnormalities identified,"LOW","INTERPRETATION"
CYTOLOGY_GENERAL_CATEGORY,EPITHELIAL_ABNORMALITY,Epithelial cell abnormalities,2,Abnormal epithelial cells present,,"INTERPRETATION"
CYTOLOGY_GENERAL_CATEGORY,OTHER_MALIGNANCY,Other malignant neoplasms,3,Non-epithelial malignancies,,"INTERPRETATION"
CYTOLOGY_ORGANISM,TRICHOMONAS,Trichomonas vaginalis,1,Parasitic protozoan organism,"LOW","NILM_ORGANISMS"
CYTOLOGY_ORGANISM,FUNGAL_CANDIDA,Fungal organisms - Candida species,2,Yeast forms consistent with Candida,"LOW","NILM_ORGANISMS"
CYTOLOGY_ORGANISM,SHIFT_FLORA,Shift in flora suggestive of bacterial vaginosis,3,Bacterial flora changes consistent with BV,"LOW","NILM_ORGANISMS"
CYTOLOGY_ORGANISM,BACTERIA,Bacteria,4,Non-specific bacterial organisms,"LOW","NILM_ORGANISMS"
CYTOLOGY_ORGANISM,ACTINOMYCES,Actinomyces-like organisms,5,Filamentous organisms consistent with Actinomyces,"LOW","NILM_ORGANISMS"
CYTOLOGY_ORGANISM,CELLULAR_CHANGES_HSV,Cellular changes consistent with herpes simplex virus,6,Viral cytopathic effect consistent with HSV,"INTERMEDIATE","NILM_ORGANISMS"
CYTOLOGY_ORGANISM,CELLULAR_CHANGES_CMV,Cellular changes consistent with cytomegalovirus,7,Viral cytopathic effect consistent with CMV,"INTERMEDIATE","NILM_ORGANISMS"
CYTOLOGY_NON_NEOPLASTIC,SQUAMOUS_METAPLASIA,Squamous metaplasia,1,Benign squamous metaplastic change,"LOW","NILM_NON_NEOPLASTIC"
CYTOLOGY_NON_NEOPLASTIC,KERATOTIC_CHANGES,Keratotic changes,2,Benign keratinization changes,"LOW","NILM_NON_NEOPLASTIC"
CYTOLOGY_NON_NEOPLASTIC,TUBAL_METAPLASIA,Tubal metaplasia,3,Benign tubal-type metaplastic change,"LOW","NILM_NON_NEOPLASTIC"
CYTOLOGY_NON_NEOPLASTIC,ATROPHY,Atrophy,4,Age-related or hormonal atrophic changes,"LOW","NILM_NON_NEOPLASTIC"
CYTOLOGY_NON_NEOPLASTIC,PREGNANCY_CHANGES,Pregnancy-related changes,5,Cellular changes consistent with pregnancy,"LOW","NILM_NON_NEOPLASTIC"
CYTOLOGY_NON_NEOPLASTIC,INFLAMMATORY_CHANGES,Reactive cellular changes,6,Benign reactive changes secondary to inflammation,"LOW","NILM_NON_NEOPLASTIC"
CYTOLOGY_NON_NEOPLASTIC,RADIATION_CHANGES,Radiation-related changes,7,Cellular changes consistent with radiation therapy,"LOW","NILM_NON_NEOPLASTIC"
CYTOLOGY_NON_NEOPLASTIC,IUD_CHANGES,IUD-related changes,8,Cellular changes associated with intrauterine device,"LOW","NILM_NON_NEOPLASTIC"
CYTOLOGY_SQUAMOUS_ABNORMALITY,ASC_US,Atypical squamous cells of undetermined significance,1,Cellular changes more marked than reactive but less than LSIL,"LOW","EPITHELIAL_ABNORMALITIES"
CYTOLOGY_SQUAMOUS_ABNORMALITY,ASC_H,Atypical squamous cells cannot exclude HSIL,2,Cellular changes suspicious but not definitive for HSIL,"INTERMEDIATE","EPITHELIAL_ABNORMALITIES"
CYTOLOGY_SQUAMOUS_ABNORMALITY,LSIL,Low-grade squamous intraepithelial lesion,3,Changes consistent with HPV/mild dysplasia/CIN 1,"LOW","EPITHELIAL_ABNORMALITIES"
CYTOLOGY_SQUAMOUS_ABNORMALITY,HSIL,High-grade squamous intraepithelial lesion,4,Changes consistent with moderate to severe dysplasia/CIN 2-3,"HIGH","EPITHELIAL_ABNORMALITIES"
CYTOLOGY_SQUAMOUS_ABNORMALITY,HSIL_SUSPICIOUS_INVASION,HSIL with features suspicious for invasion,5,HSIL with features raising concern for early stromal invasion,"HIGH","EPITHELIAL_ABNORMALITIES"
CYTOLOGY_SQUAMOUS_ABNORMALITY,SQUAMOUS_CARCINOMA,Squamous cell carcinoma,6,Invasive squamous cell carcinoma,"MALIGNANT","EPITHELIAL_ABNORMALITIES"
CYTOLOGY_GLANDULAR_ABNORMALITY,AGC_ENDOCERVICAL,Atypical glandular cells - endocervical,1,Atypical endocervical glandular cells,"INTERMEDIATE","EPITHELIAL_ABNORMALITIES"
CYTOLOGY_GLANDULAR_ABNORMALITY,AGC_ENDOMETRIAL,Atypical glandular cells - endometrial,2,Atypical endometrial glandular cells,"INTERMEDIATE","EPITHELIAL_ABNORMALITIES"
CYTOLOGY_GLANDULAR_ABNORMALITY,AGC_NOS,Atypical glandular cells - not otherwise specified,3,Atypical glandular cells of uncertain origin,"INTERMEDIATE","EPITHELIAL_ABNORMALITIES"
CYTOLOGY_GLANDULAR_ABNORMALITY,AGC_FAVOR_NEOPLASTIC_ENDOCERVICAL,AGC favor neoplastic - endocervical,4,Atypical endocervical cells favoring neoplasm,"HIGH","EPITHELIAL_ABNORMALITIES"
CYTOLOGY_GLANDULAR_ABNORMALITY,AGC_FAVOR_NEOPLASTIC_ENDOMETRIAL,AGC favor neoplastic - endometrial,5,Atypical endometrial cells favoring neoplasm,"HIGH","EPITHELIAL_ABNORMALITIES"
CYTOLOGY_GLANDULAR_ABNORMALITY,AGC_FAVOR_NEOPLASTIC_NOS,AGC favor neoplastic - NOS,6,Atypical glandular cells favoring neoplasm of uncertain origin,"HIGH","EPITHELIAL_ABNORMALITIES"
CYTOLOGY_GLANDULAR_ABNORMALITY,AIS_ENDOCERVICAL,Endocervical adenocarcinoma in situ,7,Adenocarcinoma in situ of endocervical origin,"HIGH","EPITHELIAL_ABNORMALITIES"
CYTOLOGY_GLANDULAR_ABNORMALITY,ADENOCARCINOMA_ENDOCERVICAL,Adenocarcinoma - endocervical,8,Invasive endocervical adenocarcinoma,"MALIGNANT","EPITHELIAL_ABNORMALITIES"
CYTOLOGY_GLANDULAR_ABNORMALITY,ADENOCARCINOMA_ENDOMETRIAL,Adenocarcinoma - endometrial,9,Invasive endometrial adenocarcinoma,"MALIGNANT","EPITHELIAL_ABNORMALITIES"
CYTOLOGY_GLANDULAR_ABNORMALITY,ADENOCARCINOMA_EXTRAUTERINE,Adenocarcinoma - extrauterine,10,Invasive adenocarcinoma of extrauterine origin,"MALIGNANT","EPITHELIAL_ABNORMALITIES"
CYTOLOGY_OTHER_FINDING,OTHER_MALIGNANCY_SPECIFY,Other malignant neoplasm (specify),1,Non-epithelial malignancies including sarcomas and lymphomas,"MALIGNANT","OTHER_FINDINGS"
CYTOLOGY_HPV_RESULT,HPV_POSITIVE,HPV Positive,1,High-risk HPV DNA detected,,"ANCILLARY_TESTING"
CYTOLOGY_HPV_RESULT,HPV_NEGATIVE,HPV Negative,2,High-risk HPV DNA not detected,,"ANCILLARY_TESTING"
CYTOLOGY_HPV_RESULT,HPV_INVALID,HPV Invalid/Inadequate,3,HPV test result invalid or inadequate specimen,,"ANCILLARY_TESTING"
CYTOLOGY_HPV_RESULT,HPV_NOT_DONE,HPV Not performed,4,HPV testing was not performed,,"ANCILLARY_TESTING"
CYTOLOGY_HPV_GENOTYPE,HPV_HIGH_RISK,High-risk HPV types detected,1,High-risk HPV types other than 16/18 detected,,"ANCILLARY_TESTING"
CYTOLOGY_HPV_GENOTYPE,HPV_16_18,HPV 16 and/or 18 detected,2,Specific detection of HPV types 16 and/or 18,,"ANCILLARY_TESTING"
CYTOLOGY_HPV_GENOTYPE,HPV_OTHER_TYPES,Other HPV types detected,3,Low-risk or intermediate-risk HPV types detected,,"ANCILLARY_TESTING"
CYTOLOGY_HPV_METHOD,HPV_PCR,HPV PCR method,1,Polymerase chain reaction based HPV testing,,"ANCILLARY_TESTING"
CYTOLOGY_HPV_METHOD,HPV_HYBRID_CAPTURE,HPV Hybrid Capture,2,Hybrid Capture 2 HPV testing method,,"ANCILLARY_TESTING"
CYTOLOGY_HPV_METHOD,HPV_COBAS,HPV cobas method,3,Roche cobas HPV testing platform,,"ANCILLARY_TESTING"
CYTOLOGY_HPV_METHOD,HPV_APTIMA,HPV Aptima method,4,Aptima HPV mRNA testing platform,,"ANCILLARY_TESTING"
CYTOLOGY_HPV_METHOD,HPV_OTHER_METHOD,HPV Other method (specify),5,Other HPV testing methodology not listed,,"ANCILLARY_TESTING"
CYTOLOGY_HORMONAL_EVAL,HORMONAL_COMPATIBLE,Compatible with age and history,1,Hormonal pattern appropriate for patient demographics,"LOW","HORMONAL_EVALUATION"
CYTOLOGY_HORMONAL_EVAL,HORMONAL_INCOMPATIBLE,Incompatible with age and history,2,Hormonal pattern not consistent with expected demographics,"INTERMEDIATE","HORMONAL_EVALUATION"
CYTOLOGY_HORMONAL_EVAL,HORMONAL_EVAL_LIMITED,Hormonal evaluation limited,3,Cannot adequately assess hormonal status from specimen,,"HORMONAL_EVALUATION"
CYTOLOGY_HORMONAL_EVAL,HORMONAL_NOT_APPLICABLE,Hormonal evaluation not applicable,4,Hormonal assessment not relevant for this specimen,,"HORMONAL_EVALUATION"
CYTOLOGY_RISK_LEVEL,LOW,Low Risk,1,Minimal risk requiring routine follow-up,"LOW","RISK_STRATIFICATION"
CYTOLOGY_RISK_LEVEL,INTERMEDIATE,Intermediate Risk,2,Moderate risk requiring closer monitoring,"INTERMEDIATE","RISK_STRATIFICATION"
CYTOLOGY_RISK_LEVEL,HIGH,High Risk,3,Significant risk requiring immediate intervention,"HIGH","RISK_STRATIFICATION"
CYTOLOGY_RISK_LEVEL,MALIGNANT,Malignant,4,Cancer requiring urgent referral and treatment,"MALIGNANT","RISK_STRATIFICATION"
CYTOLOGY_RECOMMENDATION,ROUTINE_SCREENING_3YR,Routine screening in 3 years,1,Continue routine screening per guidelines,"LOW","MANAGEMENT_RECOMMENDATIONS"
CYTOLOGY_RECOMMENDATION,ROUTINE_SCREENING_5YR,Routine screening in 5 years,2,Extended interval screening appropriate,"LOW","MANAGEMENT_RECOMMENDATIONS"
CYTOLOGY_RECOMMENDATION,REPEAT_COTEST_1YR,Repeat co-test in 1 year,3,Repeat cytology and HPV testing in 12 months,"INTERMEDIATE","MANAGEMENT_RECOMMENDATIONS"
CYTOLOGY_RECOMMENDATION,REPEAT_CYTOLOGY_6MO,Repeat cytology in 6 months,4,Repeat cytology screening in 6 months,"INTERMEDIATE","MANAGEMENT_RECOMMENDATIONS"
CYTOLOGY_RECOMMENDATION,COLPOSCOPY,Colposcopy,5,Refer for colposcopic examination,"HIGH","MANAGEMENT_RECOMMENDATIONS"
CYTOLOGY_RECOMMENDATION,COLPOSCOPY_WITH_ECC,Colposcopy with endocervical sampling,6,Colposcopy with endocervical curettage or sampling,"HIGH","MANAGEMENT_RECOMMENDATIONS"
CYTOLOGY_RECOMMENDATION,COLPOSCOPY_WITH_EMB,Colposcopy with endometrial biopsy,7,Colposcopy with endometrial tissue sampling,"HIGH","MANAGEMENT_RECOMMENDATIONS"
CYTOLOGY_RECOMMENDATION,IMMEDIATE_COLPOSCOPY,Immediate colposcopy or expedited treatment,8,Urgent colposcopic evaluation or treatment,"HIGH","MANAGEMENT_RECOMMENDATIONS"
CYTOLOGY_RECOMMENDATION,EXCISIONAL_PROCEDURE,Excisional procedure recommended,9,Consider LEEP/cone biopsy or similar excisional treatment,"HIGH","MANAGEMENT_RECOMMENDATIONS"
CYTOLOGY_RECOMMENDATION,GYNECOLOGIC_ONCOLOGY,Refer to gynecologic oncology,10,Specialist oncology consultation recommended,"MALIGNANT","MANAGEMENT_RECOMMENDATIONS"